                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.29885,                0.28581,                0.85344,                0.82692,                0.80304,                0.85096,                0.80475,                0.34414,                0.58716,                 0.8457,             0.00058835,             0.00058835,             0.00058835
                     91,                0.30189,                0.29038,                0.84393,                0.82118,                0.81399,                0.87057,                0.81886,                0.35029,                 0.5225,                0.84991,              0.0005856,              0.0005856,              0.0005856
                     92,                0.29732,                0.27398,                0.84119,                0.84295,                0.80251,                0.86349,                0.81476,                0.34911,                0.54223,                0.84656,             0.00058285,             0.00058285,             0.00058285
                     93,                0.29263,                0.26761,                0.84558,                0.84486,                0.80758,                 0.8727,                0.82478,                 0.3505,                0.54145,                0.84624,              0.0005801,              0.0005801,              0.0005801
                     94,                0.29292,                0.26687,                0.84654,                0.85289,                0.79454,                 0.8684,                0.82186,                0.34328,                0.54714,                0.84371,             0.00057735,             0.00057735,             0.00057735
                     95,                0.29084,                0.27027,                0.84529,                0.86008,                  0.787,                0.88828,                0.84142,                0.33495,                0.53165,                0.83832,              0.0005746,              0.0005746,              0.0005746
                     96,                0.29217,                0.26677,                0.84692,                0.81644,                0.81632,                0.85252,                0.80422,                0.34702,                0.55623,                0.84124,             0.00057185,             0.00057185,             0.00057185
                     97,                0.29338,                0.26875,                0.85152,                0.80686,                0.82584,                0.86208,                 0.8101,                 0.3523,                0.55589,                0.84709,             0.00056911,             0.00056911,             0.00056911
                     98,                0.29456,                 0.2764,                0.84869,                 0.7836,                0.82403,                0.86728,                0.81598,                0.34957,                0.53747,                0.84557,             0.00056636,             0.00056636,             0.00056636
                     99,                 0.2902,                0.28051,                0.84331,                0.79995,                0.82197,                0.86277,                 0.8107,                0.35423,                0.55604,                 0.8514,             0.00056361,             0.00056361,             0.00056361
                    100,                0.28752,                0.27241,                0.84243,                0.84391,                 0.7954,                 0.8772,                0.82404,                0.34784,                0.53078,                0.84905,             0.00056086,             0.00056086,             0.00056086
                    101,                0.28405,                0.26467,                0.83956,                0.86716,                0.79559,                0.87698,                0.82743,                 0.3466,                0.53514,                0.84532,             0.00055811,             0.00055811,             0.00055811
                    102,                0.28555,                0.25488,                0.84625,                0.83513,                0.79269,                0.85976,                0.80876,                 0.3514,                0.55199,                0.85579,             0.00055536,             0.00055536,             0.00055536
